id,dep,name,long,lat
165,1,leaz,5.88333,46.1
166,1,villes,5.78333,46.0833
167,1,saint julien sur reyssouze,5.11667,46.4
168,1,groslee,5.56667,45.7167
169,1,vandeins,5.08333,46.2167
170,1,verjon,5.35,46.35
171,1,saint andre sur vieux jonc,5.06667,46.15
172,1,saint andre d huiriat,4.91667,46.2167
173,1,grilly,6.11667,46.3333
174,1,cessy,6.06667,46.3167
175,1,ordonnaz,5.53333,45.8333
176,1,vescours,5.03333,46.4667
177,1,meillonnas,5.35,46.25
178,1,geovreisset,5.6,46.25
179,1,ceyzerieu,5.73333,45.8333
180,1,beard geovreissiat,5.56667,46.2
181,1,la burbanche,5.56667,45.85
182,1,perrex,4.98333,46.2333
183,1,villemotier,5.31667,46.35
184,1,jasseron,5.33333,46.2167
185,1,corveissiat,5.48333,46.2333
186,1,journans,5.33333,46.15
187,1,sermoyer,4.98333,46.5
188,1,charix,5.68333,46.1833
189,1,arbignieu,5.65,45.7333
190,1,leyssard,5.46667,46.1667
191,1,saint jean de thurigneux,4.88333,45.95
192,1,frans,4.78333,45.9833
193,1,tenay,5.5,45.9167
194,1,bage la ville,4.95,46.3167
195,1,montmerle sur saone,4.76667,46.0833
196,1,courmangoux,5.36667,46.3333
197,1,baneins,4.9,46.1167
198,1,lagnieu,5.35,45.9
199,1,attignat,5.16667,46.2833
200,1,saint andre de bage,4.91667,46.3
201,1,pont de vaux,4.93333,46.4333
202,1,amberieu en bugey,5.35,45.95
203,1,peyzieux sur saone,4.81667,46.1167
204,1,crozet,6.01251,46.2806
205,1,seyssel,5.83194,45.9597
206,1,beynost,5,45.8333
207,1,versonnex,6.09723,46.3023
208,1,saint laurent sur saone,4.83333,46.3
209,1,artemare,5.7,45.8667
210,1,montracol,5.11667,46.1833
211,1,parves,5.75,45.75
212,1,pugieu,5.65,45.8167
213,1,virieu le grand,5.65,45.85
214,1,saint remy,5.16667,46.1833
215,1,rance,4.86667,45.9667
216,1,grieges,4.85,46.25
217,1,grand corent,5.43333,46.2
218,1,outriaz,5.55,46.0667
219,1,montagnieu,5.46667,45.8
220,1,champagne en valromey,5.68333,45.9
221,1,amberieux en dombes,4.9,46
222,1,la boisse,5.03333,45.85
223,1,parcieux,4.81667,45.9167
224,1,saint didier d aussiat,5.06667,46.3
225,1,saint nizier le bouchoux,5.15,46.45
226,1,ars sur formans,4.81667,45.9833
227,1,anglefort,5.80833,45.9167
228,1,corlier,5.5,46.0333
229,1,ferney voltaire,6.11667,46.25
230,1,saint maurice de remens,5.28333,45.95
231,1,chatillon la palud,5.25,45.9667
232,1,saint sulpice,5.04167,46.3203
233,1,saint bois,5.63333,45.7
234,1,virignin,5.71667,45.7167
235,1,premillieu,5.56667,45.8667
236,1,genouilleux,4.78333,46.1167
237,1,reyssouze,4.91667,46.4333
238,1,collonges,5.9,46.1333
239,1,saint germain de joux,5.73333,46.1833
240,1,bregnier cordon,5.61667,45.65
241,1,saint martin le chatel,5.11667,46.2833
242,1,marignieu,5.71667,45.8
243,1,les neyrolles,5.63333,46.1333
244,1,sulignat,4.96667,46.1667
245,1,beny,5.28333,46.3333
246,1,injoux genissiat,5.78333,46.05
247,1,chanay,5.78333,46
248,1,chatillon sur chalaronne,4.96667,46.1167
249,1,farges,5.91667,46.1667
250,1,saint alban,5.45,46.1
251,1,curtafond,5.08333,46.2667
252,1,viriat,5.21667,46.25
253,1,belleydoux,5.76667,46.25
254,1,bage le chatel,4.93333,46.3
255,1,sainte olive,4.93333,46.0167
256,1,saint genis sur menthon,5.01667,46.2833
257,1,domsure,5.3,46.4167
258,1,chavannes sur suran,5.41667,46.2667
259,1,priay,5.28333,46
260,1,peyrieu,5.67751,45.6767
261,1,lalleyriat,5.71667,46.15
262,1,sergy,6,46.25
263,1,saint martin du frene,5.55,46.1333
264,1,saint maurice de beynost,4.96667,45.8333
265,1,servas,5.16667,46.1333
266,1,cuzieu,5.67445,45.8192
267,1,jayat,5.11667,46.3667
268,1,lavours,5.76667,45.8
269,1,chevroux,4.95,46.3833
270,1,pollieu,5.75,45.8
271,1,beligneux,5.11667,45.8667
272,1,brenaz,5.71667,45.95
273,1,benonces,5.48333,45.8333
274,1,saint jean le vieux,5.38917,46.0284
275,1,beauregard,4.75139,46.002
276,1,oyonnax,5.66667,46.25
277,1,mionnay,4.93333,45.9
278,1,germagnat,5.45,46.3167
279,1,coligny,5.35,46.3833
280,1,simandre sur suran,5.41667,46.2167
281,1,l abergement clemenciat,4.91667,46.15
282,1,lescheroux,5.15,46.4
283,1,ornex,6.1,46.2833
284,1,dommartin,4.99167,46.3417
285,1,lompnas,5.51667,45.8
286,1,bettant,5.36667,45.9333
287,1,armix,5.58333,45.85
288,1,feillens,4.88333,46.3333
289,1,chavornay,5.7,45.8833
290,1,challex,5.96667,46.1833
291,1,vongnes,5.71667,45.8167
292,1,magnieu,5.71667,45.7833
293,1,groissiat,5.6,46.2167
294,1,dompierre sur chalaronne,4.9,46.1333
295,1,montluel,5.05,45.85
296,1,le poizat,5.7,46.15
297,1,hostiaz,5.53333,45.9
298,1,montanges,5.8,46.1667
299,1,sainte julie,5.28333,45.8833
300,1,bey,4.85,46.2167
301,1,sonthonnax la montagne,5.53333,46.2333
302,1,mezeriat,5.03333,46.2333
303,1,bellignat,5.61667,46.25
304,1,saint marcel,4.98723,45.9487
305,1,belley,5.68333,45.7667
306,1,corbonod,5.81667,45.95
307,1,neyron,4.93223,45.8148
308,1,saint paul de varax,5.13333,46.1
309,1,pressiat,5.38333,46.3333
310,1,chazey bons,5.68333,45.8
311,1,servignat,5.06667,46.4333
312,1,marlieux,5.06667,46.0667
313,1,andert et condon,5.65,45.8
314,1,hautecourt romaneche,5.41667,46.1583
315,1,crottet,4.9,46.2833
316,1,druillat,5.31667,46.0667
317,1,dompierre sur veyle,5.2,46.0667
318,1,perouges,5.18333,45.9
319,1,rignieux le franc,5.18333,45.9333
320,1,giron,5.76667,46.2333
321,1,cerdon,5.46667,46.0833
322,1,cruzilles les mepillat,4.88333,46.2167
323,1,lelex,5.95,46.3
324,1,lhopital,5.77834,46.0217
325,1,segny,6.08333,46.3
326,1,cheignieu la balme,5.61667,45.8333
327,1,saint vulbas,5.28333,45.8333
328,1,echallon,5.74139,46.21
329,1,le montellier,5.06667,45.9333
330,1,martignat,5.6,46.2167
331,1,ceyzeriat,5.31667,46.1667
332,1,montcet,5.11667,46.2
333,1,vonnas,5,46.2167
334,1,buellas,5.13333,46.2
335,1,saint benigne,4.96667,46.4333
336,1,chevillard,5.58333,46.1167
337,1,bouligneux,5,46.0167
338,1,contrevoz,5.63333,45.8
339,1,champdor,5.6,46.0167
340,1,port,5.56667,46.1667
341,1,surjoux,5.8,46.0167
342,1,champfromier,5.81667,46.2
343,1,vesines,4.86667,46.35
344,1,seillonnaz,5.48333,45.8
345,1,varambon,5.31667,46.0333
346,1,le grand abergement,5.66667,46.0333
347,1,jassans riottier,4.75,45.9833
348,1,asnieres sur saone,4.88333,46.3833
349,1,condamine,5.56667,46.1167
350,1,lhuis,5.53333,45.75
351,1,romans,5.03333,46.1167
352,1,pizay,5.08333,45.8833
353,1,certines,5.26667,46.1333
354,1,ruffieu,5.66667,46
355,1,meximieux,5.2,45.9
356,1,saint rambert en bugey,5.43333,45.95
357,1,ambronay,5.35,46
358,1,cize,5.43333,46.2
359,1,saint germain sur renon,5.05,46.0833
