id,dep,upper_name,untrimmed_name,name,long,lat
20926,55,BONCOURT-SUR-MEUSE,boncourt sur meuse,Boncourt-sur-Meuse,5.56667,48.8
20927,55,LANEUVILLE-AU-RUPT,laneuville au rupt,Laneuville-au-Rupt,5.58333,48.7
20928,55,BEAUSITE,beausite,Beausite,5.19223,48.9681
20929,55,IRE-LE-SEC,ire le sec,Iré-le-Sec,5.38333,49.4833
20930,55,ERIZE-LA-PETITE,erize la petite,Érize-la-Petite,5.25,48.9167
20931,55,LE NEUFOUR,le neufour,Le Neufour,4.98333,49.1333
20932,55,RAMBUCOURT,rambucourt,Rambucourt,5.75,48.8333
20933,55,VELAINES,velaines,Velaines,5.3,48.7
20934,55,BOUCONVILLE-SUR-MADT,bouconville sur madt,Bouconville-sur-Madt,5.71667,48.85
20935,55,DIEUE-SUR-MEUSE,dieue sur meuse,Dieue-sur-Meuse,5.41667,49.0667
20936,55,RUMONT,rumont,Rumont,5.28333,48.8333
20937,55,LISSEY,lissey,Lissey,5.35,49.3667
20938,55,CLERY-LE-PETIT,clery le petit,Cléry-le-Petit,5.18333,49.3667
20939,55,SAMOGNEUX,samogneux,Samogneux,5.33333,49.25
20940,55,HAIRONVILLE,haironville,Haironville,5.08333,48.6833
20941,55,HEVILLIERS,hevilliers,Hévilliers,5.33333,48.6
20942,55,CHATTANCOURT,chattancourt,Chattancourt,5.26667,49.2167
20943,55,CHAMPOUGNY,champougny,Champougny,5.7,48.55
20944,55,VELOSNES,velosnes,Velosnes,5.45,49.5
20945,55,GONDRECOURT-LE-CHATEAU,gondrecourt le chateau,Gondrecourt-le-Château,5.5,48.5167
20946,55,BADONVILLIERS-GERAUVILLIERS,badonvilliers gerauvilliers,Badonvilliers-Gérauvilliers,5.58584,48.55
20947,55,CHASSEY-BEAUPRE,chassey beaupre,Chassey-Beaupré,5.43333,48.4667
20948,55,JULVECOURT,julvecourt,Julvécourt,5.18333,49.0667
20949,55,BAUDIGNECOURT,baudignecourt,Baudignécourt,5.46667,48.5667
20950,55,LAIMONT,laimont,Laimont,5.05,48.8333
20951,55,NIXEVILLE-BLERCOURT,nixeville blercourt,Nixéville-Blercourt,5.27473,49.1101
20952,55,GERY,gery,Géry,5.3,48.7833
20953,55,MOULAINVILLE,moulainville,Moulainville,5.49528,49.162
20954,55,CHAMPNEUVILLE,champneuville,Champneuville,5.31667,49.2333
20955,55,MOULOTTE,moulotte,Moulotte,5.73333,49.1
20956,55,LAVALLEE,lavallee,Vallée,5.33333,48.8167
20957,55,HERMEVILLE-EN-WOEVRE,hermeville en woevre,Herméville-en-Woëvre,5.58333,49.1833
20958,55,OSCHES,osches,Osches,5.25,49.05
20959,55,HEUDICOURT-SOUS-LES-COTES,heudicourt sous les cotes,Heudicourt-sous-les-Côtes,5.7,48.9333
20960,55,BUZY-DARMONT,buzy darmont,Buzy-Darmont,5.71028,49.1695
20961,55,AMBLY-SUR-MEUSE,ambly sur meuse,Ambly-sur-Meuse,5.45,49.0167
20962,55,LE CLAON,le claon,Le Claon,4.96667,49.1333
20963,55,BONZEE,bonzee,Bonzée,5.59278,49.097
20964,55,STAINVILLE,stainville,Stainville,5.18333,48.65
20965,55,TREMONT-SUR-SAULX,tremont sur saulx,Trémont-sur-Saulx,5.05,48.75
20966,55,VERNEUIL-PETIT,verneuil petit,Verneuil-Petit,5.41667,49.55
20967,55,REMOIVILLE,remoiville,Remoiville,5.36667,49.4417
20968,55,NAIVES-EN-BLOIS,naives en blois,Naives-en-Blois,5.55,48.6667
20969,55,CUMIERES-LE-MORT-HOMME,cumieres le mort homme,Cumières-le-Mort-Homme,5.28084,49.2328
20970,55,SOMMELONNE,sommelonne,Sommelonne,5.03333,48.6667
20971,55,CONSENVOYE,consenvoye,Consenvoye,5.28333,49.2833
20972,55,FOUCHERES-AUX-BOIS,foucheres aux bois,Fouchères-aux-Bois,5.25,48.6167
20973,55,RUPT-SUR-OTHAIN,rupt sur othain,Rupt-sur-Othain,5.5,49.4167
20974,55,ANCERVILLE,ancerville,Ancerville,5.01973,48.6359
20975,55,ARRANCY-SUR-CRUSNE,arrancy sur crusne,Arrancy-sur-Crusne,5.65862,49.4137
20976,55,CHARDOGNE,chardogne,Chardogne,5.11667,48.8333
20977,55,IPPECOURT,ippecourt,Ippécourt,5.2,49.0333
20978,55,TROYON,troyon,Troyon,5.46417,49.0031
20979,55,SAMPIGNY,sampigny,Sampigny,5.51667,48.8333
20980,55,LATOUR-EN-WOEVRE,latour en woevre,Latour-en-Woëvre,5.81667,49.0833
20981,55,REVILLE-AUX-BOIS,reville aux bois,Réville-aux-Bois,5.35,49.35
20982,55,BAUDREMONT,baudremont,Baudrémont,5.38333,48.8333
20983,55,ROUVROIS-SUR-OTHAIN,rouvrois sur othain,Rouvrois-sur-Othain,5.63333,49.3833
20984,55,LOUPPY-LE-CHATEAU,louppy le chateau,Louppy-le-Château,5.06667,48.8667
20985,55,CLERY-LE-GRAND,clery le grand,Cléry-le-Grand,5.15,49.3667
20986,55,BOUREUILLES,boureuilles,Boureuilles,5.05,49.2
20987,55,MERLES-SUR-LOISON,merles sur loison,Merles-sur-Loison,5.48333,49.3833
20988,55,THILLOMBOIS,thillombois,Thillombois,5.4,48.95
20989,55,RESSON,resson,Resson,5.23333,48.7667
20990,55,BRIZEAUX,brizeaux,Brizeaux,5.05,49
20991,55,BAZEILLES-SUR-OTHAIN,bazeilles sur othain,Bazeilles-sur-Othain,5.43333,49.5
20992,55,SAULVAUX,saulvaux,Saulvaux,5.47834,48.7084
20993,55,LOISON,loison,Loison,5.61667,49.3167
20994,55,NANTOIS,nantois,Nantois,5.35,48.6333
20995,55,SEUZEY,seuzey,Seuzey,5.56667,48.9833
20996,55,LES MONTHAIRONS,les monthairons,Monthairons,5.41667,49.05
20997,55,PRETZ-EN-ARGONNE,pretz en argonne,Pretz-en-Argonne,5.15,48.95
20998,55,LACHALADE,lachalade,Lachalade,4.96667,49.1667
20999,55,NEUVILLE-LES-VAUCOULEURS,neuville les vaucouleurs,Neuville-lès-Vaucouleurs,5.66667,48.5833
21000,55,VILLECLOYE,villecloye,Villécloye,5.4,49.5167
21001,55,VADELAINCOURT,vadelaincourt,Vadelaincourt,5.26667,49.0667
21002,55,DOULCON,doulcon,Doulcon,5.16667,49.3667
21003,55,MENIL-LA-HORGNE,menil la horgne,Ménil-la-Horgne,5.53333,48.7
21004,55,VILLE-EN-WOEVRE,ville en woevre,Ville-en-Woëvre,5.63333,49.1333
21005,55,FAINS-VEEL,fains veel,Fains-Véel,5.12612,48.7903
21006,55,SENON,senon,Senon,5.63333,49.2833
21007,55,MAUCOURT-SUR-ORNE,maucourt sur orne,Maucourt-sur-Orne,5.5,49.25
21008,55,LOUPPY-SUR-LOISON,louppy sur loison,Louppy-sur-Loison,5.35,49.45
21009,55,AMEL-SUR-L'ETANG,amel sur l etang,Amel-sur-l'Étang,5.65,49.2667
21010,55,BRAQUIS,braquis,Braquis,5.61667,49.15
21011,55,VERDUN,verdun,Verdun,5.38278,49.1598
21012,55,LANHERES,lanheres,Lanhères,5.71667,49.2
21013,55,VOUTHON-HAUT,vouthon haut,Vouthon-Haut,5.61667,48.4833
21014,55,LANDRECOURT-LEMPIRE,landrecourt lempire,Landrecourt-Lempire,5.34917,49.1039
21015,55,LAHAYVILLE,lahayville,Lahayville,5.78333,48.8833
21016,55,PAREID,pareid,Pareid,5.71667,49.1167
21017,55,COMMERCY,commercy,Commercy,5.58333,48.75
21018,55,BELRAIN,belrain,Belrain,5.31667,48.8667
21019,55,BETHINCOURT,bethincourt,Béthincourt,5.23333,49.25
21020,55,BUREY-EN-VAUX,burey en vaux,Burey-en-Vaux,5.66667,48.5667
21021,55,SEPTSARGES,septsarges,Septsarges,5.16667,49.2833
21022,55,RIBEAUCOURT,ribeaucourt,Ribeaucourt,5.35,48.55
21023,55,MAIZEY,maizey,Maizey,5.51667,48.9167
21024,55,BOVEE-SUR-BARBOURE,bovee sur barboure,Bovée-sur-Barboure,5.51667,48.65
21025,55,FRESNES-AU-MONT,fresnes au mont,Fresnes-au-Mont,5.43333,48.9
21026,55,BOINVILLE-EN-WOEVRE,boinville en woevre,Boinville-en-Woëvre,5.66667,49.1833
21027,55,LISLE-EN-BARROIS,lisle en barrois,Lisle-en-Barrois,5.13333,48.9
